City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
545,partur,19.6,76.2167,32.42,25,26,5.09,IN,1713667212
546,beawar,26.1,74.3167,27.67,32,100,5.81,IN,1713667205
547,lodja,-3.4833,23.4333,20.87,99,100,0.79,CD,1713667212
548,genhe,50.7833,121.5167,9.34,38,75,2.34,CN,1713667212
549,bayt al faqih,14.5164,43.3245,28.64,75,100,2.23,YE,1713667213
550,wuhai,39.6647,106.8122,20.18,24,66,9.84,CN,1713667161
551,minot air force base,48.4209,-101.3391,6.1,42,0,4.12,US,1713667214
552,choibalsan,48.0667,114.5,12.12,36,100,8.35,MN,1713667215
553,ambon,-3.6954,128.1814,32.08,62,40,1.54,ID,1713667215
554,moyynkum,44.2914,72.9469,14.22,34,0,10.82,KZ,1713667215
555,tefe,-3.3542,-64.7114,23.88,97,100,0.66,BR,1713667215
556,kiruna,67.8557,20.2251,-17.49,78,75,1.54,SE,1713667215
557,chimbarongo,-34.7,-71.05,11.49,54,100,0.81,CL,1713667216
558,nabire,-3.3667,135.4833,30.09,67,59,2.46,ID,1713667216
559,carangola,-20.7331,-42.0294,18.36,95,89,1.06,BR,1713667216
560,samitah,16.596,42.9444,28.93,71,96,1.5,SA,1713667216
561,naze,28.3667,129.4833,25.51,88,99,7.0,JP,1713667217
562,box elder,41.5005,-112.8764,12.99,47,21,3.96,US,1713667217
563,antofagasta,-23.65,-70.4,18.6,81,11,1.27,CL,1713667131
564,isla cristina,37.2,-7.3167,15.21,85,100,1.38,ES,1713667136
565,fort st. john,56.2499,-120.8529,12.94,18,20,5.14,CA,1713667218
566,taber,49.8167,-112.1518,9.0,27,0,6.69,CA,1713667218
567,dudhi,24.2167,83.25,36.29,13,87,5.31,IN,1713667219
568,trumbull,41.3167,-80.7665,6.31,48,100,2.06,US,1713667219
569,salalah,17.0151,54.0924,27.05,83,40,1.54,OM,1713667219
570,san pedro de macoris,18.4616,-69.2972,25.07,83,0,4.11,DO,1713667219
571,nuuk,64.1835,-51.7216,0.34,74,100,16.46,GL,1713667220
572,kamina,-8.7386,24.9906,17.67,96,81,1.47,CD,1713667220
573,werneck,49.9833,10.1,3.21,83,100,1.61,DE,1713667220
574,katsuren-haebaru,26.3369,127.8719,29.21,73,20,7.2,JP,1713667220
575,sanpetru mare,46.05,20.6667,4.56,82,73,4.78,RO,1713667220
576,huillapima,-28.7253,-65.9787,23.64,61,3,0.83,AR,1713667221
577,n'zeto,-7.2312,12.8666,26.51,93,100,3.04,AO,1713667221
578,kapit,2.0167,112.9333,25.1,99,100,0.78,MY,1713667221
579,anloga,5.7947,0.8973,28.6,84,91,6.77,GH,1713667119
580,ghat,24.9647,10.1728,26.9,10,86,4.11,LY,1713667222
581,las tablas,7.7667,-80.2833,26.21,99,61,1.49,PA,1713667222
582,louisville,38.2542,-85.7594,11.01,48,0,4.63,US,1713666915
583,puerto baquerizo moreno,-0.9,-89.6,24.91,84,95,0.69,EC,1713667223
584,kupino,54.3663,77.2981,12.98,53,11,5.15,RU,1713667223
